unix,date,symbol,open,high,low,close,Volume ETH,Volume GBP,tradecount
1660521600000,2022-08-15 00:00:00,ETH/GBP,1596.90000000,1598.02000000,1587.62000000,1593.14000000,181.44700000,289014.99973800,359
1660518000000,2022-08-14 23:00:00,ETH/GBP,1595.75000000,1600.63000000,1592.52000000,1596.74000000,340.52800000,543695.20119800,571
1660514400000,2022-08-14 22:00:00,ETH/GBP,1607.91000000,1609.02000000,1583.06000000,1595.75000000,575.20680000,918722.69210100,1046
1660510800000,2022-08-14 21:00:00,ETH/GBP,1601.45000000,1617.29000000,1600.03000000,1607.50000000,283.63630000,455903.50178000,606
1660507200000,2022-08-14 20:00:00,ETH/GBP,1592.91000000,1605.12000000,1592.30000000,1601.52000000,337.79350000,540228.03687200,766
1660503600000,2022-08-14 19:00:00,ETH/GBP,1593.61000000,1597.82000000,1589.71000000,1593.61000000,303.80790000,484108.73726400,642
1660500000000,2022-08-14 18:00:00,ETH/GBP,1586.22000000,1594.76000000,1576.24000000,1593.69000000,564.96160000,897148.37795200,1189
1660496400000,2022-08-14 17:00:00,ETH/GBP,1601.90000000,1605.14000000,1586.91000000,1587.96000000,740.41470000,1181708.71296700,1637
1660492800000,2022-08-14 16:00:00,ETH/GBP,1637.28000000,1637.51000000,1602.24000000,1602.24000000,463.89660000,752415.45092400,1026
1660489200000,2022-08-14 15:00:00,ETH/GBP,1636.07000000,1638.93000000,1632.29000000,1637.33000000,247.58940000,405052.24470600,523
1660485600000,2022-08-14 14:00:00,ETH/GBP,1631.55000000,1638.85000000,1630.10000000,1635.91000000,226.63280000,370500.62446000,480
1660482000000,2022-08-14 13:00:00,ETH/GBP,1638.06000000,1638.73000000,1625.94000000,1631.73000000,497.95510000,812972.21759700,938
1660478400000,2022-08-14 12:00:00,ETH/GBP,1641.78000000,1643.17000000,1632.82000000,1637.65000000,270.22590000,442539.54974700,618
1660474800000,2022-08-14 11:00:00,ETH/GBP,1647.78000000,1651.43000000,1635.00000000,1641.84000000,262.65410000,431864.10582800,555
1660471200000,2022-08-14 10:00:00,ETH/GBP,1656.90000000,1656.90000000,1646.78000000,1647.78000000,220.87380000,364646.04089600,509
1660467600000,2022-08-14 09:00:00,ETH/GBP,1649.54000000,1660.32000000,1647.63000000,1657.66000000,271.20440000,448763.76691600,619
1660464000000,2022-08-14 08:00:00,ETH/GBP,1663.30000000,1663.65000000,1645.03000000,1650.27000000,557.54100000,922586.08125100,1106
1660460400000,2022-08-14 07:00:00,ETH/GBP,1643.62000000,1673.78000000,1642.97000000,1663.30000000,589.46050000,976764.53953000,1244
1660456800000,2022-08-14 06:00:00,ETH/GBP,1643.27000000,1646.53000000,1640.47000000,1643.64000000,160.93590000,264413.43223500,361
1660453200000,2022-08-14 05:00:00,ETH/GBP,1642.66000000,1645.86000000,1638.38000000,1643.19000000,199.96780000,328481.27179700,381
1660449600000,2022-08-14 04:00:00,ETH/GBP,1637.60000000,1648.09000000,1633.89000000,1641.54000000,248.43540000,407383.43333700,492
1660446000000,2022-08-14 03:00:00,ETH/GBP,1639.38000000,1640.42000000,1634.60000000,1637.60000000,115.70840000,189535.87662200,243
1660442400000,2022-08-14 02:00:00,ETH/GBP,1639.89000000,1641.76000000,1635.00000000,1639.40000000,190.50090000,312235.70465200,354
1660438800000,2022-08-14 01:00:00,ETH/GBP,1638.17000000,1644.61000000,1626.15000000,1639.98000000,240.02090000,393056.40498500,503
1660435200000,2022-08-14 00:00:00,ETH/GBP,1636.29000000,1642.11000000,1629.32000000,1638.19000000,218.01850000,356774.17878600,487
1660431600000,2022-08-13 23:00:00,ETH/GBP,1632.00000000,1639.13000000,1627.95000000,1636.13000000,201.19430000,328685.28648200,392
1660428000000,2022-08-13 22:00:00,ETH/GBP,1638.50000000,1643.30000000,1632.00000000,1632.43000000,198.08980000,324368.41960000,368
1660424400000,2022-08-13 21:00:00,ETH/GBP,1640.70000000,1643.98000000,1635.70000000,1638.04000000,176.06300000,288750.97513000,402
1660420800000,2022-08-13 20:00:00,ETH/GBP,1629.19000000,1644.06000000,1623.46000000,1640.74000000,382.48690000,624819.09197300,833
1660417200000,2022-08-13 19:00:00,ETH/GBP,1635.49000000,1637.89000000,1626.57000000,1629.41000000,309.89600000,506136.24599500,623
1660413600000,2022-08-13 18:00:00,ETH/GBP,1649.02000000,1651.48000000,1629.36000000,1635.31000000,414.41830000,679158.21164700,796
1660410000000,2022-08-13 17:00:00,ETH/GBP,1640.71000000,1649.15000000,1638.08000000,1649.15000000,371.95330000,611546.75296000,775
1660406400000,2022-08-13 16:00:00,ETH/GBP,1639.31000000,1646.44000000,1636.30000000,1640.70000000,298.72510000,490064.28080900,629
1660402800000,2022-08-13 15:00:00,ETH/GBP,1634.62000000,1644.52000000,1632.03000000,1639.31000000,411.76600000,673991.63549700,737
1660399200000,2022-08-13 14:00:00,ETH/GBP,1630.98000000,1637.80000000,1629.91000000,1633.67000000,281.69090000,460316.48608200,565
1660395600000,2022-08-13 13:00:00,ETH/GBP,1632.72000000,1639.61000000,1628.19000000,1630.88000000,387.09600000,632508.51375400,799
1660392000000,2022-08-13 12:00:00,ETH/GBP,1637.61000000,1637.66000000,1618.68000000,1632.81000000,418.60230000,681946.58868200,813
1660388400000,2022-08-13 11:00:00,ETH/GBP,1644.09000000,1644.58000000,1627.25000000,1638.13000000,369.14780000,604192.20988400,804
1660384800000,2022-08-13 10:00:00,ETH/GBP,1650.47000000,1650.98000000,1640.37000000,1644.00000000,275.71960000,453968.84101500,565
1660381200000,2022-08-13 09:00:00,ETH/GBP,1638.85000000,1655.68000000,1635.00000000,1651.14000000,395.07900000,650005.06506000,806
1660377600000,2022-08-13 08:00:00,ETH/GBP,1645.41000000,1654.33000000,1634.57000000,1638.85000000,445.60270000,733616.30750100,931
1660374000000,2022-08-13 07:00:00,ETH/GBP,1653.21000000,1657.05000000,1643.81000000,1644.72000000,394.12020000,650810.14878100,908
1660370400000,2022-08-13 06:00:00,ETH/GBP,1643.13000000,1663.80000000,1643.13000000,1653.43000000,544.70840000,901918.33876800,1283
1660366800000,2022-08-13 05:00:00,ETH/GBP,1641.71000000,1647.74000000,1639.03000000,1643.67000000,357.61340000,587562.61805800,754
