unix,date,symbol,open,high,low,close,Volume ETH,Volume GBP,tradecount
1660348800000,2022-08-13 00:00:00,ETH/GBP,1615.09,1615.68,1608.28,1608.39,102.521,165324.128052,215
1660262400000,2022-08-12 00:00:00,ETH/GBP,1543.95,1619.61,1524.12,1614.88,17412.8481,27148816.12175,26142
1660176000000,2022-08-11 00:00:00,ETH/GBP,1518.91,1586.98,1517.06,1543.87,27593.4132,42845071.197171,36187
1660089600000,2022-08-10 00:00:00,ETH/GBP,1411.08,1545.4,1374.64,1518.52,10136.9766,14758927.662504,18837
1660003200000,2022-08-09 00:00:00,ETH/GBP,1471.32,1483.25,1380.01,1410.98,8525.0452,12180756.161898,16366
1659916800000,2022-08-08 00:00:00,ETH/GBP,1410.82,1500,1405.57,1471.8,8762.9298,12784857.300419,17008
1659830400000,2022-08-07 00:00:00,ETH/GBP,1401.55,1433.43,1383.73,1410.71,6191.7554,8700139.440206,11448
1659744000000,2022-08-06 00:00:00,ETH/GBP,1438.19,1448.51,1398.16,1401.46,6275.553,8938777.793692,11430
1659657600000,2022-08-05 00:00:00,ETH/GBP,1324.59,1441.91,1322.74,1438.11,10811.9187,14990652.227325,19923
1659571200000,2022-08-04 00:00:00,ETH/GBP,1333.67,1368.73,1302.54,1323.06,9668.3739,12913320.945883,17988
1659484800000,2022-08-03 00:00:00,ETH/GBP,1343.59,1383.27,1310.95,1333.94,10561.0271,14244414.157262,22370
1659398400000,2022-08-02 00:00:00,ETH/GBP,1331.42,1374.73,1276.97,1343.47,13013.6667,17185333.268321,27067
1659312000000,2022-08-01 00:00:00,ETH/GBP,1380.18,1399,1312.37,1331.39,10539.4249,14324898.624192,21699
1659225600000,2022-07-31 00:00:00,ETH/GBP,1394.88,1440,1370.98,1381.6,8809.901,12350874.509895,19171
1659139200000,2022-07-30 00:00:00,ETH/GBP,1414.56,1465,1376.77,1395.13,9573.801,13457877.684409,20577
1659052800000,2022-07-29 00:00:00,ETH/GBP,1418.13,1450,1367.96,1414.37,12460.2528,17561506.726007,26622
1658966400000,2022-07-28 00:00:00,ETH/GBP,1346.01,1464.05,1317.24,1417.71,14710.4044,20229570.070576,30747
1658880000000,2022-07-27 00:00:00,ETH/GBP,1204.29,1352,1180.37,1345.9,13140.6059,16407583.789819,28670
1658793600000,2022-07-26 00:00:00,ETH/GBP,1196.24,1207.82,1129.38,1204.16,13210.4497,15411668.425324,26014
1658707200000,2022-07-25 00:00:00,ETH/GBP,1334.03,1344.25,1192.67,1195.91,14835.7941,18758149.529228,28541
1658620800000,2022-07-24 00:00:00,ETH/GBP,1292.53,1387.06,1290,1334.48,11665.0709,15537851.308501,24491
1658534400000,2022-07-23 00:00:00,ETH/GBP,1280.11,1330.57,1242.64,1292.37,10122.9226,13006542.233176,20829
1658448000000,2022-07-22 00:00:00,ETH/GBP,1313.23,1375.83,1266.21,1280.09,14516.4695,19239402.705535,30212
1658361600000,2022-07-21 00:00:00,ETH/GBP,1271.38,1339.29,1220.21,1313.22,16076.1314,20451922.362567,33772
1658275200000,2022-07-20 00:00:00,ETH/GBP,1286.92,1350,1242,1271.61,16721.878,21797072.623479,36033
